Occupations,Row Error,United States,Alabama,Arkansas,California,Connecticut,Delaware,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New York,North Carolina,Ohio,Oregon,Pennsylvania,Rhode Island,South Carolina,Tennessee,Texas,Vermont,Virginia,West Virginia,Wisconsin,Territories
Boot and shoe makers,0,171127,870,234,2501,2540,419,69,1375,6279,4299,2376,625,2268,1594,3757,4793,48255,3605,846,516,3739,214,148,5412,5349,24309,1189,10617,158,19631,587,538,1688,628,1107,2986,1066,3151,1389
Box-factory operatives,0,6080,,,97,307,7,,1,164,36,,1,29,7,88,145,998,66,,,143,,,171,330,2435,,313,,492,166,,,,34,24,2,22,2
Brass founders and workers,0,4694,,,27,1278,2,,1,172,19,4,1,41,14,14,132,648,20,1,,80,2,,14,160,1129,,187,,611,46,,7,2,7,,2,13,60
Brewers and maltsters,0,11246,5,5,568,91,13,2,12,848,588,334,96,164,66,25,196,227,438,218,9,723,54,97,39,573,2169,5,1342,55,1128,16,1,40,84,8,23,47,656,281
Brick and tile makers,0,26070,208,59,415,542,171,16,338,1720,1236,335,265,521,129,393,1128,2085,983,229,87,1290,109,17,364,1310,5336,103,2347,34,1826,200,15,374,263,133,212,324,486,467
Bridge builders and contractors,0,1029,22,,1,26,7,,11,94,37,66,15,25,2,9,8,42,31,34,16,116,6,,18,22,103,4,158,,92,3,1,12,2,17,18,5,6,
Britannia and japanned ware makers,0,1092,,,34,298,,,,19,,3,,2,,2,3,354,,,,,,,4,157,130,,19,,64,3,,,,,,,,
Broom and brush makers,0,5816,6,7,62,49,11,1,,331,196,82,28,76,52,64,133,746,134,16,1,227,3,,15,162,1548,2,876,2,783,32,1,12,10,29,13,9,78,19
Bronze-workers,0,79,,,1,2,1,,,1,,,,,,,,13,,,,1,4,,,4,49,,,,2,,,,,,,,,1
Builders and contractors (not specified),0,7511,39,37,273,248,13,13,10,494,204,163,49,106,132,68,95,392,141,106,39,279,72,19,14,561,2138,9,467,13,884,18,29,61,29,16,50,22,91,117
Butchers,9,44354,211,98,1686,820,221,63,280,3209,1302,1006,468,636,1110,417,1566,1704,1381,352,149,1981,129,211,335,1295,11357,115,2717,147,5244,313,189,239,584,269,489,184,1012,856
Button-factory operatives,0,1272,,,,544,,,,1,,,,,,,,332,,,,,,,,185,37,,,,169,3,,,,,,,,1
Cabinetmakers,40,42835,142,89,487,613,92,22,364,2103,2210,1023,255,1023,298,366,1068,5100,1341,318,115,1255,40,21,804,910,8385,383,4960,77,5353,177,158,591,250,446,545,236,971,204
"Candle, soap, and tallow makers",0,1942,11,,55,89,4,,2,94,27,24,12,36,35,36,47,248,28,13,3,112,5,,17,107,406,,167,3,222,30,,12,19,8,12,9,32,17
Card and fancy-paper makers,0,339,,,,1,,,,,,,,,,,,32,,,,,,,117,,151,,2,,34,1,,1,,,,,,
Car-makers,60,2228,12,,7,66,96,,43,73,,,36,10,8,9,,174,6,4,,11,,,17,52,252,,168,,1078,10,,2,3,3,,,28,
Carpenters and joiners,0,344596,2902,1549,7413,7130,1291,1049,4723,23040,14179,12418,5064,5287,4578,6474,7904,23506,14693,4164,2072,11737,1848,500,4406,12569,53046,3154,27225,916,39255,3682,2454,5177,3760,3670,6912,2526,7815,4508
Carpet-bag and satchel makers,0,202,,,,,,,,2,,,,2,,,22,1,,,,,,,,128,30,,3,,13,1,,,,,,,,
Carpet-makers,0,15669,56,4,19,1486,69,29,122,385,331,,27,127,9,154,175,2378,216,56,12,137,5,1,127,532,2688,61,800,19,4000,296,71,191,135,21,488,114,226,102
